StartDate,ResponseId,Group,Q4,Q6,Q33_1,Q33_13,Q33_2,Q33_4,Q33_3,Q33_12,Q33_10,Q3_1,Q3_2,Q3_9,Q3_12,Q3_4,Q3_10,Q13,Q15,Q16_1,Q16_2,Q16_3,Q17,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2
7/5/2023 9:47,R_XukISbK2xolmRZ7,A,"Less than $5,000",Less than 10%,0,50,0,0,0,0,50,25,0,0,0,50,25,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,50,50,25,25,Yes,Unsure. Please have a Pet Advocacy Network representative contact me.
7/12/2023 17:45,R_3jVRDAPhqqQ5jAp,A,"Less than $5,000",76% to 100%,50,50,0,0,0,0,0,75,0,0,0,25,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,26,95,5,0,Yes,Yes
7/12/2023 17:59,R_2viZ4xg06aG3b4X,A,"Less than $5,000",76% to 100%,25,60,0,13,2,0,0,60,20,5,0,15,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,30,99,1,0,Yes,Yes
7/16/2023 17:46,R_3fouKuBFsetzKIl,A,"$200,001 to $1,000,000",10% to 25%,0,5,0,90,5,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,blank,0,10,90,Yes,Yes
7/17/2023 21:10,R_0NblsTMgt5RMkrT,A,"Less than $5,000",Less than 10%,0,40,50,,0,10,0,0,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Blank,Blank,Animals within my business,4,0,0,100,Unsure. Please have a Pet Advocacy Network representative contact me.,Unsure. Please have a Pet Advocacy Network representative contact me.
7/17/2023 22:39,R_1F4VIsxOlXR5HEu,A,"Less than $5,000",Less than 10%,25,25,25,0,0,25,0,25,25,0,0,50,0,No,Four times in one year,Shipments arriving at my business,Blank,Animals within my business,6,0,75,25,Yes,Yes
7/18/2023 5:00,R_2WwfDUaqbMMzZxO,A,"Less than $5,000",Less than 10%,10,70,0,10,0,10,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,7,0,0,100,Yes,Yes
7/19/2023 2:13,R_zTFUVZFQaWKdu5r,A,"Less than $5,000",Less than 10%,0,0,0,0,0,0,100,0,0,0,0,0,100,Unsure,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,15,0,0,15,Yes,Yes
7/24/2023 14:55,R_2y2E2T30LLlGuRq,A,"Over $1,000,000",Less than 10%,0,5,0,0,0,0,95,0,95,5,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Blank,150,0,75,25,Unsure. Please have a Pet Advocacy Network representative contact me.,Unsure. Please have a Pet Advocacy Network representative contact me.
8/29/2023 18:00,R_3neIyl1uSQiVLql,A,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Four times in one year,Shipments arriving at my business,Blank,Blank,0,100,0,0,Yes,Unsure. Please have a Pet Advocacy Network representative contact me.
7/18/2023 15:09,R_3Gx0nhAL1qo2n10,A,"Less than $5,000",Less than 10%,0,95,0,0,0,5,0,0,0,0,0,100,0,No,Blank,Blank,Blank,Blank,20,0,0,100,blank,blank
10/2/2023 16:29,R_2t1bwFVRtrj5vQ5,A,"Less than $5,000",Less than 10%,0,100,0,0,0,0,0,0,0,100,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Shipments departing from my business,Animals within my business,5,0,0,100,Yes,Yes
7/17/2023 21:42,R_1CjpN78LbmgPOvu,B,"Less than $5,000",26% to 50%,20,20,0,60,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,13,0,0,100,Yes,Yes
7/17/2023 22:08,R_2tgOdT4GkyMk2K4,B,"Less than $5,000",76% to 100%,0,20,80,0,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,5,0,0,100,Yes,Yes
7/18/2023 1:15,R_1f43DQm4zrjTvmA,B,"Less than $5,000",76% to 100%,90,10,0,0,0,0,0,50,0,0,0,50,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,50,0,0,100,Yes,Yes
7/20/2023 11:33,R_2dz1YeamRfbm6o0,B,"Over $1,000,000",Less than 10%,0,0,0,50,30,20,0,0,90,10,0,0,0,Yes,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,10,0,30,70,Yes,Yes
