Response ID,status,Duration to fill-up online form (minutes),gross annual sales of your business,code income,percentage of annual sales for amphibians,code amphibians,percentage of the amphibians - Breeding in-house,percentage of the amphibians - Hobbyists (sales or trades),percentage of the amphibians - Retail pet stores,percentage of the amphibians - Wholesaler/distributors,percentage of the amphibians - Imports,percentage of the amphibians - Wild-caught,percentage of the amphibians - Other (please list),"percentage you sell to - Pet owners, directly",percentage you sell to - Retail pet stores,percentage you sell to - Wholesale/distributor,percentage you sell to - Exported to other countries,percentage you sell to - Hobbyists,percentage you sell to - Other (please list),What approximate percentage of the amphibians you sell from your facility go to each of the following? Values must total to 100. - Other (please list) - Text,Did your business participate in the pilot amphibian project,How frequently are you willing to collect samples for this project?,Which type of samples are you willing to collect?  - Shipments arriving at my business,Which type of samples are you willing to collect? - Shipments departing from my business,Which type of samples are you willing to collect? - Animals within my business,What is the approximate total number of independent amphibian habitats in your business? ,Aquatic,Partially,Terrestrial,"Are you willing to share the following information about your business, provided that it remains confidential? - Basic operations (e.g., biosecurity practices)","Are you willing to share the following information about your business, provided that it remains confidential? - Economics (e.g., broad categories of volume)"
R_pQ8W5RsSsoTgk5b,Results,28.95,"$5,000 to 50,000",2,26% to 50%,3,49,50,0,0,1,0,0,50,0,15,10,25,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Shipments departing from my business,Animals within my business,50,35,2.5,12.5,Yes,Yes
R_3qIO8312qi3PMi9,Results,4.53,"Less than $5,000",1,76% to 100%,4,90,10,0,0,0,0,0,90,0,0,0,10,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,6,0,3,3,Yes,Yes
R_2Bycno9ZudwEcrI,Results,3.28,"$5,000 to 50,000",2,76% to 100%,4,80,20,0,0,0,0,0,10,70,0,0,20,0,,Unsure,Four times per year for two years,Blank,Blank,Animals within my business,24,0,0,24,Yes,Yes
R_2AS6IMiJ7D2Kovw,Results,4.05,"Less than $5,000",1,Less than 10%,1,25,50,25,0,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,15,0,1.5,13.5,Yes,No
R_3Nzg8tEmVoChJUS,Results,0.25,"Over $1,000,000",5,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,4,1,0,3,Yes,Yes
R_22ys0r6PWjrwvOK,Results,0.22,"Over $1,000,000",5,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,4,1,0,3,Yes,Yes
R_2X0ZHPEtQYxJHD6,Results,0.30,"Over $1,000,000",5,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,4,1,0,3,Yes,Yes
R_ywDxpmvNVPeaMbD,Results,3.47,"$5,000 to 50,000",2,76% to 100%,5,80,20,0,0,0,0,0,90,10,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,20,4,8,8,Yes,Yes
R_3uyWiDTzKR8u7Qb,Results,6.80,"Less than $5,000",1,Less than 10%,1,5,70,0,0,10,15,0,90,0,0,0,10,0,,Unsure,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,6,2.4,0.6,3,Yes,No
R_3J8RqkYoVOqv4MF,Results,15.68,"Less than $5,000",1,76% to 100%,5,70,28,2,0,0,0,0,90,2,0,0,8,0,,Yes,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,134,107.2,24.12,2.68,Yes,Yes
